"","e","entityYearsVector.i.","OneYear","ThreeYear","FiveYear"
"1","A00013646",2015,TRUE,TRUE,TRUE
"2","A00013648",2011,FALSE,FALSE,FALSE
"3","A00013651",2023,TRUE,TRUE,TRUE
"4","A00013652",2018,FALSE,TRUE,TRUE
"5","A00013654",2014,FALSE,FALSE,TRUE
"6","A00013659",2022,TRUE,TRUE,TRUE
"7","A00013662",2022,FALSE,TRUE,TRUE
"8","A00059627",2022,FALSE,TRUE,TRUE
"9","A00013667",2018,FALSE,TRUE,TRUE
"10","A00013668",2014,TRUE,TRUE,TRUE
"11","A00013669",2023,TRUE,TRUE,TRUE
"12","A00013674",2011,TRUE,TRUE,TRUE
"13","A00203020",2020,FALSE,FALSE,TRUE
"14","A00222843",2020,FALSE,FALSE,TRUE
"15","A00210153",2002,FALSE,FALSE,FALSE
"16","A00013680",2010,FALSE,FALSE,FALSE
"17","A00013688",2022,TRUE,TRUE,TRUE
"18","A00508069",2022,TRUE,TRUE,TRUE
"19","A00013689",2003,FALSE,FALSE,FALSE
"20","A00013691",2006,FALSE,FALSE,FALSE
"21","A00013853",2017,TRUE,TRUE,TRUE
"22","A00013857",2016,FALSE,TRUE,TRUE
"23","A00013858",2021,FALSE,FALSE,FALSE
"24","A00013863",2022,FALSE,TRUE,TRUE
"25","A00494795",2022,FALSE,TRUE,TRUE
"26","A00013864",2005,FALSE,FALSE,FALSE
"27","A00013865",2022,TRUE,TRUE,TRUE
"28","A00043335",2022,TRUE,TRUE,TRUE
"29","A00013867",2016,FALSE,TRUE,TRUE
"30","A00083518",2016,FALSE,TRUE,TRUE
"31","A00206106",2019,TRUE,TRUE,TRUE
"32","A00013873",2004,TRUE,TRUE,TRUE
"33","A00013874",2015,FALSE,FALSE,FALSE
"34","A00089000",2012,TRUE,TRUE,TRUE
"35","A00013876",2019,FALSE,FALSE,FALSE
"36","A00013877",2021,FALSE,TRUE,TRUE
"37","A00013878",2013,TRUE,TRUE,TRUE
"38","A00013881",2007,TRUE,TRUE,TRUE
"39","A00264477",2006,FALSE,TRUE,TRUE
"40","A00013883",2015,TRUE,TRUE,TRUE
"41","A00057496",2015,TRUE,TRUE,TRUE
