Entity.ID,Year,OneYearRetention,ThreeYearRetention,FiveYearRetention
A00013648,2003,FALSE,FALSE,FALSE
A00013651,2009,FALSE,FALSE,FALSE
A00013651,2017,FALSE,FALSE,FALSE
A00013651,2023,FALSE,FALSE,FALSE
A00013654,2007,FALSE,FALSE,FALSE
A00013668,2003,FALSE,FALSE,FALSE
A00013669,2002,FALSE,FALSE,FALSE
A00013669,2003,TRUE,TRUE,TRUE
A00013669,2004,TRUE,TRUE,TRUE
A00013669,2005,TRUE,TRUE,TRUE
A00013669,2006,TRUE,TRUE,TRUE
A00013669,2007,TRUE,TRUE,TRUE
A00013669,2008,TRUE,TRUE,TRUE
A00013669,2010,FALSE,TRUE,TRUE
A00013669,2012,FALSE,TRUE,TRUE
A00013669,2014,FALSE,TRUE,TRUE
A00013669,2015,TRUE,TRUE,TRUE
A00013669,2016,TRUE,TRUE,TRUE
A00013669,2017,TRUE,TRUE,TRUE
A00013669,2019,FALSE,TRUE,TRUE
A00013669,2020,TRUE,TRUE,TRUE
A00013669,2021,TRUE,TRUE,TRUE
A00013669,2022,TRUE,TRUE,TRUE
A00013669,2023,TRUE,TRUE,TRUE
A00013688,2015,FALSE,FALSE,FALSE
A00013688,2020,FALSE,FALSE,TRUE
A00508069,2015,FALSE,FALSE,FALSE
A00508069,2020,FALSE,FALSE,TRUE
A00013691,2006,FALSE,FALSE,FALSE
A00013857,2013,FALSE,FALSE,FALSE
A00013858,2006,FALSE,FALSE,FALSE
A00013858,2007,TRUE,TRUE,TRUE
A00013863,2002,FALSE,FALSE,FALSE
A00494795,2002,FALSE,FALSE,FALSE
A00013865,2004,FALSE,FALSE,FALSE
A00013865,2005,TRUE,TRUE,TRUE
A00013865,2009,FALSE,FALSE,TRUE
A00013865,2018,FALSE,FALSE,FALSE
A00043335,2004,FALSE,FALSE,FALSE
A00043335,2005,TRUE,TRUE,TRUE
A00043335,2009,FALSE,FALSE,TRUE
A00043335,2018,FALSE,FALSE,FALSE
A00206106,2016,FALSE,FALSE,FALSE
A00206106,2017,TRUE,TRUE,TRUE
A00206106,2018,TRUE,TRUE,TRUE
A00206106,2019,TRUE,TRUE,TRUE
A00013873,2003,FALSE,FALSE,FALSE
A00013873,2004,TRUE,TRUE,TRUE
A00089000,2005,FALSE,FALSE,FALSE
A00013877,2017,FALSE,FALSE,FALSE
A00013877,2019,FALSE,TRUE,TRUE
A00013877,2021,FALSE,TRUE,TRUE
A00013878,2002,FALSE,FALSE,FALSE
A00013878,2003,TRUE,TRUE,TRUE
A00013878,2004,TRUE,TRUE,TRUE
A00013878,2005,TRUE,TRUE,TRUE
A00013878,2006,TRUE,TRUE,TRUE
A00013878,2007,TRUE,TRUE,TRUE
A00013883,2003,FALSE,FALSE,FALSE
A00013883,2004,TRUE,TRUE,TRUE
A00013883,2005,TRUE,TRUE,TRUE
A00013883,2006,TRUE,TRUE,TRUE
A00013883,2012,FALSE,FALSE,FALSE
A00013883,2013,TRUE,TRUE,TRUE
A00013883,2014,TRUE,TRUE,TRUE
A00013883,2015,TRUE,TRUE,TRUE
A00057496,2003,FALSE,FALSE,FALSE
A00057496,2004,TRUE,TRUE,TRUE
A00057496,2005,TRUE,TRUE,TRUE
A00057496,2006,TRUE,TRUE,TRUE
A00057496,2012,FALSE,FALSE,FALSE
A00057496,2013,TRUE,TRUE,TRUE
A00057496,2014,TRUE,TRUE,TRUE
A00057496,2015,TRUE,TRUE,TRUE
A00218543,2002,FALSE,FALSE,FALSE
A00218543,2003,TRUE,TRUE,TRUE
A00227186,2002,FALSE,FALSE,FALSE
A00227186,2003,TRUE,TRUE,TRUE
A00013889,2002,FALSE,FALSE,FALSE
A00013889,2005,FALSE,TRUE,TRUE
A00013889,2007,FALSE,TRUE,TRUE
A00013889,2017,FALSE,FALSE,FALSE
A00013889,2018,TRUE,TRUE,TRUE
A00013889,2019,TRUE,TRUE,TRUE
A00013889,2021,FALSE,TRUE,TRUE
A00013891,2005,FALSE,FALSE,FALSE
A00013891,2009,FALSE,FALSE,TRUE
A00013891,2019,FALSE,FALSE,FALSE
A00082857,2005,FALSE,FALSE,FALSE
A00082857,2009,FALSE,FALSE,TRUE
A00082857,2019,FALSE,FALSE,FALSE
A00014272,2018,FALSE,FALSE,FALSE
A00014272,2022,FALSE,FALSE,TRUE
A00055741,2018,FALSE,FALSE,FALSE
A00055741,2022,FALSE,FALSE,TRUE
A00014286,2003,FALSE,FALSE,FALSE
A00014286,2004,TRUE,TRUE,TRUE
A00014292,2003,FALSE,FALSE,FALSE
A00014293,2003,FALSE,FALSE,FALSE
A00014294,2004,FALSE,FALSE,FALSE
A00014294,2014,FALSE,FALSE,FALSE
A00014294,2015,TRUE,TRUE,TRUE
A00014294,2016,TRUE,TRUE,TRUE
A00014294,2017,TRUE,TRUE,TRUE
A00087378,2004,FALSE,FALSE,FALSE
A00087378,2014,FALSE,FALSE,FALSE
A00087378,2015,TRUE,TRUE,TRUE
A00087378,2016,TRUE,TRUE,TRUE
A00087378,2017,TRUE,TRUE,TRUE
A00014296,2013,FALSE,FALSE,FALSE
A00014296,2023,FALSE,FALSE,FALSE
A00508128,2013,FALSE,FALSE,FALSE
A00508128,2023,FALSE,FALSE,FALSE
A00089003,2008,FALSE,FALSE,FALSE
A00207222,2018,FALSE,FALSE,FALSE
A00014298,2006,FALSE,FALSE,FALSE
A00014298,2016,FALSE,FALSE,FALSE
A00014302,2017,FALSE,FALSE,FALSE
A00014065,2004,FALSE,FALSE,FALSE
A00227746,2008,FALSE,FALSE,FALSE
A00227895,2008,FALSE,FALSE,FALSE
A00014083,2005,FALSE,FALSE,FALSE
A00014083,2009,FALSE,FALSE,TRUE
A00401953,2005,FALSE,FALSE,FALSE
A00401953,2009,FALSE,FALSE,TRUE
A00208639,2002,FALSE,FALSE,FALSE
A00208639,2003,TRUE,TRUE,TRUE
A00208640,2013,FALSE,FALSE,FALSE
A00014104,2010,FALSE,FALSE,FALSE
A00014104,2013,FALSE,TRUE,TRUE
A00014104,2017,FALSE,FALSE,TRUE
A00014104,2018,TRUE,TRUE,TRUE
A00014104,2019,TRUE,TRUE,TRUE
A00023698,2010,FALSE,FALSE,FALSE
A00023698,2013,FALSE,TRUE,TRUE
A00023698,2017,FALSE,FALSE,TRUE
A00023698,2018,TRUE,TRUE,TRUE
A00023698,2019,TRUE,TRUE,TRUE
A00084943,2021,FALSE,FALSE,FALSE
A00014478,2021,FALSE,FALSE,FALSE
A00014478,2022,TRUE,TRUE,TRUE
A00014484,2005,FALSE,FALSE,FALSE
A00014487,2004,FALSE,FALSE,FALSE
A00014488,2002,FALSE,FALSE,FALSE
A00014488,2003,TRUE,TRUE,TRUE
